Zone,Polygon
"Zone 1","1A"
"Zone 1","1B"
"Zone 1","1C"
"Zone 1","1D"
"Zone 1","1E"
"Zone 1","1F"
"Zone 1","1G"
"Zone 1","1H"
"Zone 2","1A"
"Zone 2","1B"
"Zone 2","1C"
"Zone 2","1D"
"Zone 2","1E"
"Zone 2","1F"
"Zone 2","1G"
"Zone 3","1A"
"Zone 3","1B"
"Zone 3","1C"
"Zone 4","4A"
"Zone 4","4B"
"Zone 4","4c"
"Zone 4","4D"
"Zone 4","4E"
"Zone 4","4F"
"Zone 4","4G"
"Zone 4","4H"
"Zone 4","4I"
"Zone 5","5A"
"Zone 5","5B"
"Zone 5","5C"
"Zone 5","5D"
"Zone 5","5E"
"Zone 5","5F"
"Zone 5","5G"
"Zone 6","6A"
"Zone 6","6B"
"Zone 6","6C"
"Zone 6","6D"
"Zone 6","6E"
"Zone 6","6F"
"Zone 7","7A"
"Zone 7","7B"
"Zone 7","7C"
"Zone 7","7D"
"Zone 7","7E"
"Zone 7","7F"
"Zone 8","8A"
"Zone 8","8B"
"Zone 8","8C"
"Zone 8","8D"
"Zone 8","8E"
"Zone 8","8F"
"Zone 8","8G"
"Zone 10","1A"
"Zone 10","1B"
"Zone 10","1C"
"Zone 10","1D"
"Zone 10","1E"
"Zone 10","1F"
"Zone 10","1G"
"Zone 10","1H"
"Zone 10","1I"
"Zone 10","1K"
"Zone 11","1A"
"Zone 11","1B"
"Zone 11","1C"
"Zone 11","1D"
"Zone 11","1E"
"Zone 11","1F"
"Zone 12","1A"
"Zone 12","1B"
"Zone 12","1C"
"Zone 12","1D"
"Zone 12","1E"
"Zone 12","1F"
"Zone 12","1G"
"Zone 13","1A"
"Zone 13","1B"
"Zone 13","1C"
"Zone 13","1D"
"Zone 13","1E"
"Zone 13","1F"
"Zone 13","1G"
"Zone 13","1H"
"Zone 13","1I"
